movie,decade,rating,country,genre
Rim of the World,2010,0,USA,"Action, Adventure, Comedy"
How to Train Your Dragon: The Hidden World,2010,2,USA,"Animation, Action, Adventure"
"Kid Who Would Be King, The",2010,1,USA,"Action, Adventure, Family"
Polar,2010,2,USA,"Action, Crime, Thriller"
Close,2010,3,USA,"Action, Drama, Thriller"
Serenity,2000,3,USA,"Action, Adventure, Sci-Fi"
Us,2010,3,USA,"Horror, Mystery, Thriller"
Cold Pursuit,2010,1,USA,"Action, Comedy, Crime"
Alita: Battle Angel,2010,3,USA,"Action, Adventure, Sci-Fi"
"Lego Movie 2: The Second Part, The",2010,3,USA,"Animation, Action, Adventure"
American Woman,2010,3,USA,Drama
Isn&#39;t It Romantic,2010,3,USA,"Comedy, Fantasy, Musical"
Captain Marvel,2010,3,USA,"Action, Adventure, Sci-Fi"
Fighting with My Family,2010,3,USA,"Biography, Comedy, Drama"
Happy Death Day 2U,2010,3,USA,"Comedy, Horror, Mystery"
Triple Frontier,2010,1,USA,"Action, Thriller"
Shazam!,2010,3,USA,"Action, Adventure, Comedy"
My Little Pony: Equestria Girls: Spring Breakdown,2010,3,USA,"Animation, Adventure, Comedy"
Someone Great,2010,3,USA,"Comedy, Romance"
Zoombies 2,2010,3,USA,"Action, Adventure, Comedy"
Avengers: Endgame,2010,3,USA,"Action, Adventure, Drama"
"Curse of La Llorona, The",2010,3,USA,"Horror, Mystery, Thriller"
Guava Island,2010,2,USA,"Comedy, Drama, Music"
"Silence, The",2010,3,USA,"Drama, Horror, Sci-Fi"
Miss Bala,2010,3,USA,"Action, Crime, Drama"
Pokemon Detective Pikachu,2010,3,USA,"Action, Adventure, Comedy"
"Hustle, The",2010,3,USA,"Comedy, Crime"
Unplanned,2010,3,USA,"Biography, Drama"
Wine Country,2010,3,USA,"Adventure, Comedy, Drama"
Booksmart,2010,3,USA,Comedy
Aladdin,1990,0,USA,"Animation, Adventure, Comedy"
Nancy Drew and the Hidden Staircase,2010,3,USA,"Comedy, Crime, Drama"
John Wick: Chapter 3 - Parabellum,2010,1,USA,"Action, Crime, Thriller"
Ma,2010,3,USA,"Horror, Mystery, Thriller"
Always Be My Maybe,2010,3,USA,"Comedy, Romance"
Dark Phoenix,2010,3,USA,"Action, Adventure, Sci-Fi"
"Perfect Date, The",2010,2,USA,"Comedy, Romance"
Late Night,2010,3,USA,"Comedy, Drama"
Brightburn,2010,2,USA,"Drama, Horror, Mystery"
Godzilla: King of the Monsters,2010,3,USA,"Action, Adventure, Fantasy"
Toy Story 4,2010,3,USA,"Animation, Adventure, Comedy"
Annabelle Comes Home,2010,3,USA,"Horror, Mystery, Thriller"
Effigy &#150;&nbsp;Poison and the City,2010,3,USA,"Crime, History"
Spider-Man: Far from Home,2010,1,USA,"Action, Adventure, Comedy"
Midsommar,2010,3,USA,"Drama, Horror, Mystery"
Anna,2010,3,USA,"Action, Thriller"
"Lion King, The",1990,1,USA,"Animation, Adventure, Drama"
Crawl,2010,3,USA,"Action, Adventure, Horror"
Once Upon a Time ... In Hollywood,2010,3,USA,"Comedy, Drama"
Sword of Trust,2010,3,USA,"Comedy, Drama"
"Farewell, The",2010,3,USA,"Comedy, Drama"
Fast &amp; Furious Presents: Hobbs &amp; Shaw,2010,2,USA,"Action, Adventure, Thriller"
