filme,decada,score,nacionalidade,genero
"400 Blows, The",1950,0,Others,Crime
Araya,1950,3,Others,Documentary
Come Dance with Me!,1950,3,Others,Comedy
Good Morning (Ohay&ocirc;),1950,3,Others,Comedy
"Great War, The",1950,1,Others,Comedy
Battle in Outer Space,1950,1,Others,Action
Apur Sansar,1950,0,Others,Drama
"Bridge, The",1950,3,Others,Drama
Babette Goes to War,1950,3,Others,Comedy
Ballada o soldate,1950,1,Others,Drama
Les yeux sans visage,1960,3,Others,Drama
A bout de souffle,1960,0,Others,Crime
Late Autumn,1960,3,Others,Comedy
Body in the Web,1960,3,Others,Horror
Rocco and His Brothers,1960,2,Others,Crime
Black Sunday,1960,3,Others,Horror
Testament of Orpheus,1960,1,Others,Biography
Jigoku (Hell or The Sinners of Hell),1960,3,Others,Crime
"City of the Dead, The",1960,3,Others,Horror
Zazie dans le metro,1960,3,Others,Comedy
Make Mine Mink,1960,3,Others,Comedy
"Truth, The",1960,3,Others,Drama
"Virgin Spring, The",1960,3,Others,Drama
La Dolce Vita,1960,2,Others,Comedy
La ciociara,1960,3,Others,Drama
Peeping Tom,1960,2,Others,Drama
Le Trou,1960,0,Others,Crime
"Brides of Dracula, The",1960,3,Others,Horror
Shoot the Piano Player,1960,2,Others,Crime
School for Scoundrels,1960,1,Others,Comedy
Conspiracy of Hearts,1960,3,Others,Drama
Nerve on Sunday,1960,2,Others,Comedy
First Spaceship on Venus,1960,1,Others,Sci-Fi
"Bad Sleep Well, The",1960,1,Others,Crime
Les Bonnes Femmes,1960,3,Others,Drama
L&#39;avventura,1960,3,Others,Drama
Yojimbo,1960,1,Others,Action
Mysterious Island,1960,0,Others,Adventure
A Taste of Honey,1960,3,Others,Drama
La Notte,1960,3,Others,Drama
Mothra,1960,0,Others,Adventure
A Woman Is a Woman,1960,0,Others,Comedy
"Curse of the Werewolf, The",1960,3,Others,Horror
"Leon Morin, Priest",1960,3,Others,Drama
Accattone,1960,3,Others,Drama
Through a Glass Darkly,1960,0,Others,Drama
Flame in the Streets,1960,3,Others,Drama
Lola,1960,2,Others,Drama
"Please, Not Now!",1960,3,Others,Comedy
Why Bother to Knock,1960,2,Others,Comedy
Girls of the Night,1960,3,Others,Drama
Girl with a suitcase,1960,1,Others,Drama
Victim,1960,1,Others,Drama
Jules and Jim,1960,1,Others,Drama
Ivanovo detstvo,1960,1,Others,Drama
"Day of the Triffids, The",1960,3,Others,Horror
"Trial, The",1990,1,Others,Drama
Cleo from 5 to 7,1960,3,Others,Comedy
"Trial of Joan of Arc, The",1960,0,Others,Biography
"L-Shaped Room, The",1960,3,Others,Drama
La Jetee,1960,0,Others,Short
Les dimanches de Ville d&#39;Avray,1960,3,Others,Drama
"Loneliness of the Long Distance Runner, The",1960,3,Others,Drama
Boccaccio &acute;70,1960,2,Others,Comedy
War of the Buttons,1960,0,Others,Comedy
Cartouche,1960,1,Others,Action
Atraco a las tres,1960,1,Others,Comedy
Vivre Sa Vie,1960,3,Others,Drama
"Treasure of the Silver Lake, The",1960,1,Others,Adventure
Antoine and Colette,1960,0,Others,Short
Hara-Kiri,1960,0,Others,Action
L&#39;eclisse,1960,3,Others,Drama
"Exterminating Angel, The",1960,3,Others,Drama
Love on a Pillow,1960,3,Others,Drama
Only Two Can Play,1960,3,Others,Comedy
Adieu Philippine,1960,3,Others,Drama
"Bakery Girl of Monceau, The",1960,1,Others,Short
Lord of the Flies,1960,0,Others,Adventure
Carry on Cabby,1960,3,Others,Adventure
Contempt,1960,1,Others,Drama
Khaneh siah ast (The House is Black),1960,0,Others,Documentary
"Haunting, The",1960,3,Others,Horror
"Kiss of the Vampire, The",1960,2,Others,Horror
Tom Jones,1960,3,Others,Adventure
"Silence, The",1960,3,Others,Drama
"Guest, The",1960,0,Others,Drama
8&frac12;,1960,3,Others,Drama
Sanjuro,1960,3,Others,Action
El verdugo,1960,1,Others,Drama
Atragon,1960,0,Others,Action
Summer Holiday,1960,3,Others,Comedy
"Servant, The",1960,3,Others,Drama
Suzanne&#39;s Career,1960,3,Others,Drama
Winter Light,1960,1,Others,Drama
Unearthly Stranger,1960,1,Others,Horror
Winnetou,1960,1,Others,Adventure
Tamahine,1960,3,Others,Comedy
Matango,1960,3,Others,Horror
Mahanagar,1960,3,Others,Drama
Per un pugno di dollari (A Fisful of Dollars),1960,1,Others,Action
Der Geteilte Himmel (Divided Heaven),1960,2,Others,Drama
Woman in the Dunes,1960,0,Others,Drama
First Men in the Moon,1960,1,Others,Adventure
"Long Ships, The",1960,1,Others,Adventure
Band of Outsiders,1960,3,Others,Comedy
Zulu,1960,0,Others,Drama
Marriage Italian Style,1960,3,Others,Comedy
"Gospel According to St. Matthew, The",1960,1,Others,Biography
King &amp; Country,1960,0,Others,Drama
Onibaba,1960,0,Others,Drama
"Umbrellas of Cherbourg, The",1960,3,Others,Drama
Code Name: Tiger,1960,3,Others,Thriller
"Ghidorah, the Three-Headed Monster",1960,3,Others,Action
Carry On Cleo,1960,1,Others,Adventure
Red Desert,1960,3,Others,Drama
Godzilla vs. The Thing (Mothra vs. Godzilla),1960,1,Others,Adventure
Nikutai no mon [Gate of Flesh],1960,3,Others,Drama
La tia Tula,1960,3,Others,Drama
Seduced and abandoned,1960,3,Others,Comedy
Old Shatterhand,1960,1,Others,Adventure
Winnetou: The Red Gentleman,1960,1,Others,Adventure
Amongst Vultures,1960,0,Others,Adventure
Diary of a Chambermaid,1960,3,Others,Crime
Gulliver&#39;s Travels Beyond the Moon,1960,0,Others,Animation
Juliet of the Spirits,1960,3,Others,Comedy
Repulsion,1960,3,Others,Drama
A Study in Terror,1960,3,Others,Crime
Thunderball,1960,2,Others,Action
"Ipcress File, The",1960,1,Others,Drama
Alphaville,1960,1,Others,Drama
For a Few Dollars More,1960,0,Others,Drama
Viva Maria!,1960,3,Others,Adventure
Darling,1960,3,Others,Drama
"Pleasure Girls, The",1960,3,Others,Drama
Daikaiju Gamera,1960,2,Others,Action
Frankenstein Conquers the World,1960,1,Others,Horror
Kapurush,1960,0,Others,Drama
Devils of Darkness,1960,3,Others,Horror
Mne dvadtsat let (I am twenty),1960,3,Others,Drama
"Railrodder, The",1960,0,Others,Comedy
"Oil Prince, The",1960,1,Others,Western
Winnetou: The Last Shot,1960,0,Others,Action
Old Surehand,1960,1,Others,Adventure
Pyramid of the Sun God,1960,1,Others,Western
Treasure of the Aztecs,1960,1,Others,Adventure
Red Beard,1960,3,Others,Drama
"Knack... and How to Get It, The",1960,0,Others,Comedy
"Big Job, The",1960,3,Others,Comedy
"Wild Affair, The",1960,3,Others,Comedy
Persona,1960,3,Others,Drama
La battaglia di Algeri,1960,1,Others,Drama
"Good, the Bad and the Ugly, The",1960,1,Others,Adventure
Daisies,1960,3,Others,Comedy
Alfie,1960,1,Others,Comedy
End of August at the Hotel Ozone,1960,3,Others,Drama
Blow-Up,1960,0,Others,Drama
Cathy Come Home,1960,3,Others,Drama
Fahrenheit 451,1960,3,Others,Drama
Georgy Girl,1960,3,Others,Comedy
A Man for All Seasons,1960,1,Others,Biography
Django,1960,0,Others,Action
Andrei Rublev,1960,1,Others,Biography
L&#39;armata Brancaleone,1960,1,Others,Adventure
"Godzilla vs. the Sea Monster (Ebirah, Horror of the Deep)",1960,1,Others,Action
Daimajin,1960,1,Others,Drama
Return of Daimajin,1960,0,Others,Fantasy
Wrath of Daimajin,1960,0,Others,Drama
Daikaiju ketto: Gamera tai Barugon,1960,0,Others,Action
Black Girl,1960,3,Others,Drama
One Million Years B.C.,1960,1,Others,Adventure
"Plague of the Zombies, The",1960,3,Others,Horror
Dracula: Prince of Darkness,1960,1,Others,Horror
Tokyo Drifter,1960,1,Others,Action
La caza,1960,0,Others,Drama
"Who Are You, Polly Maggoo?",1960,1,Others,Comedy
Winnetou and the Crossbreed,1960,1,Others,Western
Winnetou und sein Freund Old Firehand,1960,1,Others,Western
Saraswathi Sabatham,1960,2,Others,Comedy
Eye of the Devil,1960,3,Others,Horror
Made in USA,1960,1,Others,Comedy
"Nun, The",1960,3,Others,Drama
Marketa Lazarova,1960,1,Others,Drama
You Only Live Twice,1960,1,Others,Action
I Am Curious (Yellow),1960,3,Others,Drama
Elvira Madigan,1960,0,Others,Biography
Belle de Jour,1960,3,Others,Drama
Bedazzled,1960,3,Others,Comedy
Berserk,1960,3,Others,Horror
Le Samourai,1960,1,Others,Crime
La collectionneuse,1960,1,Others,Comedy
Playtime,1960,3,Others,Comedy
Asterix the Gaul (Asterix le Gaulois),1960,0,Others,Animation
Smashing Time,1960,3,Others,Comedy
Son of Godzilla,1960,0,Others,Action
Uchu daikaiju Girara,1960,3,Others,Horror
Daikaiju kuchusen: Gamera tai Gyaosu,1960,0,Others,Action
Koroshi no rakuin [Branded to Kill],1960,1,Others,Action
Peppermint Frappe,1960,1,Others,Drama
"Young Girls of Rochefort, The",1960,3,Others,Comedy
A Countess from Hong Kong,1960,3,Others,Comedy
Accident,1960,1,Others,Drama
God Forgives... I Don&#39;t!,1960,0,Others,Western
"Django Kill... If You Live, Shoot!",1960,0,Others,Horror
"To Sir, with Love",1960,3,Others,Drama
Two Weeks in September,1960,3,Others,Drama
Robbery,1960,0,Others,Crime
Taiyo no oji: Horusu no daiboken,1960,0,Others,Animation
Romeo and Juliet,1960,3,Others,Drama
Barbarella,1960,3,Others,Action
If....,1960,1,Others,Crime
Carry On... Up the Khyber,1960,3,Others,Adventure
Up the Junction,1960,3,Others,Drama
"Bride Wore Black, The",1960,3,Others,Crime
Asterix et Cleopatre,1960,0,Others,Animation
Hour of the Wolf,1960,1,Others,Drama
Destroy All Monsters,1960,0,Others,Action
Il giorno della civetta,1960,0,Others,Crime
Gamera vs. Viras,1960,2,Others,Action
Reconstruction,1960,0,Others,Comedy
Dracula Has Risen from the Grave,1960,2,Others,Drama
Egri csillagok,1960,1,Others,Adventure
"Cat Has Nine Lives, The",1960,3,Others,Drama
"Today We Kill, Tomorrow We Die!",1960,0,Others,Drama
Oliver!,1960,2,Others,Drama
"Valley of Death, The",1960,0,Others,Western
"Django, Prepare a Coffin",1960,0,Others,Action
