filme,decada,score,nacionalidade,genero
Rim of the World,2010,0,USA,Action
How to Train Your Dragon: The Hidden World,2010,2,USA,Animation
"Kid Who Would Be King, The",2010,1,USA,Action
Polar,2010,2,USA,Action
Close,2010,3,USA,Action
Serenity,2000,3,USA,Action
Us,2010,3,USA,Horror
Cold Pursuit,2010,1,USA,Action
Alita: Battle Angel,2010,3,USA,Action
"Lego Movie 2: The Second Part, The",2010,3,USA,Animation
American Woman,2010,3,USA,Drama
Isn&#39;t It Romantic,2010,3,USA,Comedy
Captain Marvel,2010,3,USA,Action
Fighting with My Family,2010,3,USA,Biography
Happy Death Day 2U,2010,3,USA,Comedy
Triple Frontier,2010,1,USA,Action
Shazam!,2010,3,USA,Action
My Little Pony: Equestria Girls: Spring Breakdown,2010,3,USA,Animation
Someone Great,2010,3,USA,Comedy
Zoombies 2,2010,3,USA,Action
Avengers: Endgame,2010,3,USA,Action
"Curse of La Llorona, The",2010,3,USA,Horror
Guava Island,2010,2,USA,Comedy
"Silence, The",2010,3,USA,Drama
Miss Bala,2010,3,USA,Action
Pokemon Detective Pikachu,2010,3,USA,Action
"Hustle, The",2010,3,USA,Comedy
Unplanned,2010,3,USA,Biography
Wine Country,2010,3,USA,Adventure
Booksmart,2010,3,USA,Comedy
Aladdin,1990,0,USA,Animation
Nancy Drew and the Hidden Staircase,2010,3,USA,Comedy
John Wick: Chapter 3 - Parabellum,2010,1,USA,Action
Ma,2010,3,USA,Horror
Always Be My Maybe,2010,3,USA,Comedy
Dark Phoenix,2010,3,USA,Action
"Perfect Date, The",2010,2,USA,Comedy
Late Night,2010,3,USA,Comedy
Brightburn,2010,2,USA,Drama
Godzilla: King of the Monsters,2010,3,USA,Action
Toy Story 4,2010,3,USA,Animation
Annabelle Comes Home,2010,3,USA,Horror
Effigy &#150;&nbsp;Poison and the City,2010,3,USA,Crime
Spider-Man: Far from Home,2010,1,USA,Action
Midsommar,2010,3,USA,Drama
Anna,2010,3,USA,Action
"Lion King, The",1990,1,USA,Animation
Crawl,2010,3,USA,Action
Once Upon a Time ... In Hollywood,2010,3,USA,Comedy
Sword of Trust,2010,3,USA,Comedy
"Farewell, The",2010,3,USA,Comedy
Fast &amp; Furious Presents: Hobbs &amp; Shaw,2010,2,USA,Action
Five Feet Apart,2010,3,USA,Drama
Kim Possible,2010,3,USA,Action
"Art of Racing in the Rain, The",2010,2,USA,Comedy
Descendants 3,2010,3,USA,Adventure
Pet Sematary,2010,3,USA,Horror
Tolkien,2010,2,USA,Biography
See You Yesterday,2010,3,USA,Action
"Where&#39;d You Go, Bernadette",2010,3,USA,Comedy
Terminator: Dark Fate,2010,3,USA,Action
Brittany Runs A Marathon,2010,3,USA,Comedy
Dora and the Lost City of Gold,2010,3,USA,Action
Jawline,2010,0,USA,Documentary
Steven Universe: The Movie,2010,3,USA,Animation
Tall Girl,2010,3,USA,Comedy
Ad Astra,2010,1,USA,Adventure
Ready or Not,2010,3,USA,Action
Lucy in the Sky,2010,3,USA,Drama
Joker,2010,3,USA,Crime
Canceled,2010,3,USA,Short
Downton Abbey,2010,3,USA,Drama
Scary Stories to Tell in the Dark,2010,3,USA,Adventure
Gemini Man,2010,1,USA,Action
Ford v Ferrari,2010,0,USA,Action
Hustlers,2010,3,USA,Comedy
Maleficent: Mistress of Evil,2010,3,USA,Adventure
"Laundromat, The",2010,3,USA,Comedy
"King, The",2010,1,USA,Biography
"Gentlemen, The",2010,3,USA,Action
What Men Want,2010,1,USA,Comedy
After,2010,3,USA,Drama
Abominable,2010,3,USA,Animation
Harriet,2010,3,USA,Action
Marriage Story,2010,2,USA,Drama
"Lighthouse, The",2010,0,USA,Drama
It Chapter 2,2010,3,USA,Drama
Last Christmas,2010,3,USA,Comedy
Luce,2010,3,USA,Drama
Klaus,2010,1,USA,Animation
"Knight Before Christmas, The",2010,3,USA,Adventure
Jojo Rabbit,2010,3,USA,Comedy
Midway,2010,1,USA,Action
Charlie&#39;s Angels,2000,3,USA,Action
Knives Out,2010,3,USA,Comedy
Motherless Brooklyn,2010,3,USA,Crime
A Beautiful Day in the Neighborhood,2010,2,USA,Biography
Clementine,2010,3,USA,Drama
Queen &amp; Slim,2010,2,USA,Crime
Doctor Sleep,2010,3,USA,Drama
"Irishman, The",2010,1,USA,Biography
Frozen 2,2010,3,USA,Animation
Unbelievable,2010,3,USA,Crime
Zombieland: Double Tap,2010,3,USA,Action
Satanic Panic,2010,3,USA,Comedy
Star Wars: Episode IX - The Rise of Skywalker,2010,3,USA,Action
Yesterday,2010,1,USA,Comedy
Her Smell,2010,3,USA,Drama
Cats,2010,3,USA,Comedy
Rambo: Last Blood,2010,2,USA,Action
A Dog&#39;s Journey,2010,3,USA,Adventure
Monos,2010,3,USA,Adventure
Little Women,1940,3,USA,Drama
"Aeronauts, The",2010,3,USA,Action
Uncut Gems,2010,2,USA,Crime
"Goldfinch, The",2010,1,USA,Crime
"Two Popes, The",2010,1,USA,Biography
1917,2010,0,USA,Action
Just Mercy,2010,2,USA,Biography
For Sama,2010,3,USA,Documentary
Troop Zero,2010,3,USA,Comedy
In the Tall Grass,2010,1,USA,Horror
El Camino: A Breaking Bad Movie,2010,1,USA,Action
Jumanji: The Next Level,2010,1,USA,Action
Paddleton,2010,0,USA,Comedy
Seberg,2010,3,USA,Biography
Straight Up,2010,3,USA,Comedy
Can You Keep A Secret?,2010,3,USA,Comedy
i lost my body,2010,0,USA,Animation
Iron Sky: The Coming Race,2010,3,USA,Action
Color Out of Space,2010,2,USA,Horror
Otherhood,2010,3,USA,Comedy
7500,2010,1,USA,Action
Secret Obsession,2010,1,USA,Crime
Spies in Disguise,2010,3,USA,Animation
Missing Link,2010,1,USA,Animation
Murder Mystery,2010,1,USA,Crime
Bit,2010,3,USA,Comedy
Bombshells and Dollies,2010,3,USA,Documentary
"Dead Don&#39;t Die, The",2010,3,USA,Comedy
"Report, The",2010,0,USA,Biography
Rocketman,2010,3,USA,Biography
Under The Silver Lake,2010,0,USA,Crime
"Vast of Night, The",2010,3,USA,Drama
Long Shot,2010,3,USA,Comedy
"Last Full Measure, The",2010,1,USA,Drama
Bad Education,2010,3,USA,Biography
Before You Know It,2010,3,USA,Comedy
"Beach Bum, The",2010,1,USA,Comedy
Saint Frances,2010,3,USA,Comedy
Mercy Black,2010,3,USA,Horror
"Addams Family, The",1990,3,USA,Comedy
K-12,2010,3,USA,Fantasy
Come to Daddy,2010,1,USA,Comedy
"Yes, God, Yes",2010,3,USA,Comedy
"Kitchen, The",2010,3,USA,Action
Wonder Park,2010,3,USA,Animation
A New Christmas,2010,1,USA,Drama
Richard Jewell,2010,3,USA,Biography
47 Meters Down: Uncaged,2010,3,USA,Adventure
Sound of Metal,2010,1,USA,Drama
"Assistant, The",2010,3,USA,Drama
"Peanut Butter Falcon, The",2010,1,USA,Adventure
"Personal History of David Copperfield, The",2010,3,USA,Comedy
Good Kisser,2010,3,USA,Comedy
"Final Level: Escaping Rancala, The",2010,3,USA,Action
In the Shadow of the Moon,2010,1,USA,Action
After the Wedding,2010,3,USA,Drama
Men in Black: International,2010,3,USA,Action
Lucky Grandma,2010,3,USA,Comedy
Pokemon: Mewtwo Strikes Back - Evolution,2010,3,USA,Animation
A Call to Spy,2010,3,USA,Biography
Stray,2010,3,USA,Action
"Highwaymen, The",2010,1,USA,Biography
"Souvenir, The",2010,3,USA,Drama
Angel Has Fallen,2010,1,USA,Action
White Snake,2010,3,USA,Animation
"Cat and the Moon, The",2010,1,USA,Drama
Bombshell,2010,3,USA,Biography
Sister Aimee,2010,3,USA,Comedy
Robowoman,2010,3,USA,Action
"Best of Enemies, The",2010,3,USA,Biography
Once Were Brothers: Robbie Robertson and the Band,2010,0,USA,Documentary
Reign of the Supermen,2010,1,USA,Animation
Let It Snow,2010,1,USA,Comedy
"Good Liar, The",2010,3,USA,Crime
"Haunting of Sharon Tate, The",2010,3,USA,Drama
Invader Zim: Enter the Florpus,2010,0,USA,Animation
6 Underground,2010,3,USA,Action
"Legend of 5 Mile Cave, The",2010,1,USA,Western
Noelle,2010,3,USA,Comedy
"Mortuary Collection, The",2010,1,USA,Fantasy
Glass,2010,2,USA,Drama
Wayne,2010,3,USA,Action
Haunt,2010,3,USA,Horror
Escape Room,2010,3,USA,Action
A Nasty Piece of Work,2010,3,USA,Drama
Un momento en el tiempo: olas,2010,3,USA,Drama
Uglydolls,2010,3,USA,Animation
Soul,2020,3,USA,Animation
Like a Boss,2020,3,USA,Comedy
Honey Boy,2020,0,USA,Drama
"Rhythm Section, The",2020,2,USA,Action
"Turning, The",2020,3,USA,Drama
Birds of Prey,2020,3,USA,Action
Horse Girl,2020,3,USA,Drama
Sonic the Hedgehog,2020,3,USA,Action
Minari,2020,3,USA,Drama
Onward,2020,3,USA,Animation
All the Bright Places,2020,3,USA,Drama
Lost Girls,2020,3,USA,Crime
